January,,,,,,,,,,,,,,,,,,,Member Type,Avg_Length,Count
,Row Labels,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,,,,,,
,casual,0:29:52,10556,0:20:25,11606,0:18:36,9129,0:16:23,6988,0:14:00,8570,0:20:42,18467,0:21:59,20553,0:20:51,85869,,,,
,member,0:12:31,21621,0:10:42,37291,0:10:52,31245,0:10:12,27593,0:10:39,30253,0:12:03,33592,0:12:11,30691,0:11:16,212286,,,,
,Grand Total,0:18:12,32177,0:13:01,48897,0:12:37,40374,0:11:27,34581,0:11:23,38823,0:15:07,52059,0:16:07,51244,0:14:02,298155,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,,,,,,,,,,,
,,Column Labels,,,,,,,,,,,,,,,,,,,
,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Total Average of ride_length,Total Count of ride_id,,,,
,Row Labels,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,,,,,,
,casual,0:26:02,17498,0:25:14,14053,0:19:57,15978,0:18:12,13510,0:17:11,13234,0:19:33,15589,0:22:50,19354,0:21:30,109216,,,,
,member,0:12:53,26014,0:11:20,38065,0:10:55,50953,0:10:48,43123,0:10:51,39522,0:11:09,34846,0:12:15,29602,0:11:20,262125,,,,
,Grand Total,0:18:10,43512,0:15:05,52118,0:13:04,66931,0:12:34,56633,0:12:27,52756,0:13:45,50435,0:16:26,48956,0:14:19,371341,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,,,,,,,,,,,
,,Column Labels,,,,,,,,,,,,,,,,,,,
,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Total Average of ride_length,Total Count of ride_id,,,,
,Row Labels,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,,,,,,
,casual,0:30:09,25659,0:27:03,20186,0:21:01,18337,0:19:49,17275,0:19:29,25590,0:21:34,33654,0:25:48,41936,0:23:50,182637,,,,
,member,0:13:27,29267,0:11:45,38684,0:11:49,45458,0:11:15,44769,0:11:21,59008,0:12:03,56106,0:13:46,46527,0:12:07,319819,,,,
,Grand Total,0:21:15,54926,0:17:00,58870,0:14:27,63795,0:13:38,62044,0:13:49,84598,0:15:37,89760,0:19:28,88463,0:16:23,502456,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,,,,,,,,,,,
,,Column Labels,,,,,,,,,,,,,,,,,,,
,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Total Average of ride_length,Total Count of ride_id,,,,
,Row Labels,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,,,,,,
,casual,0:30:24,55725,0:28:33,37245,0:23:40,32066,0:23:04,25922,0:21:46,37839,0:23:09,40866,0:25:20,62430,0:25:34,292093,,,,
,member,0:14:22,51526,0:12:26,65327,0:12:37,59702,0:12:22,47967,0:12:33,58728,0:12:24,52655,0:14:10,50906,0:12:57,386811,,,,
,Grand Total,0:22:42,107251,0:18:17,102572,0:16:29,91768,0:16:07,73889,0:16:10,96567,0:17:06,93521,0:20:19,113336,0:18:23,678904,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,,,,,,,,,,,
,,Column Labels,,,,,,,,,,,,,,,,,,,
,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Total Average of ride_length,Total Count of ride_id,,,,
,Row Labels,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,,,,,,
,casual,0:28:49,47902,0:25:05,33656,0:22:02,44886,0:21:16,43901,0:22:12,45942,0:23:46,47167,0:26:25,59883,0:24:20,323337,,,,
,member,0:14:58,45591,0:13:07,58166,0:12:58,80713,0:12:45,77049,0:12:46,75973,0:13:23,53087,0:14:33,49516,0:13:21,440095,,,,
,Grand Total,0:22:04,93493,0:17:30,91822,0:16:13,125599,0:15:51,120950,0:16:20,121915,0:18:16,100254,0:21:03,109399,0:18:00,763432,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,,,,,,,,,,,
,,Column Labels,,,,,,,,,,,,,,,,,,,
,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Total Average of ride_length,Total Count of ride_id,,,,
,Row Labels,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,,,,,,
,casual,0:26:41,71008,0:26:42,28382,0:20:42,27845,0:19:42,35113,0:20:55,37214,0:21:57,57496,0:24:36,80680,0:23:32,337738,,,,
,member,0:14:43,61798,0:12:21,53795,0:12:13,59136,0:12:37,67358,0:12:44,66083,0:12:47,76315,0:14:11,67954,0:13:06,452439,,,,
,Grand Total,0:21:07,132806,0:17:18,82177,0:14:56,86981,0:15:03,102471,0:15:41,103297,0:16:43,133811,0:19:50,148634,0:17:33,790177,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,,,,,,,,,,,
,,Column Labels,,,,,,,,,,,,,,,,,,,
,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Total Average of ride_length,Total Count of ride_id,,,,
,Row Labels,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,,,,,,
,casual,0:24:42,42595,0:25:40,42391,0:20:22,36589,0:18:45,26957,0:17:09,31240,0:19:48,37603,0:23:07,48086,0:21:47,265461,,,,
,member,0:13:45,48563,0:12:29,71921,0:12:14,83058,0:12:24,65290,0:12:07,67564,0:12:45,61744,0:13:38,51158,0:12:40,449298,,,,
,Grand Total,0:18:52,91158,0:17:22,114312,0:14:44,119647,0:14:15,92247,0:13:43,98804,0:15:25,99347,0:18:14,99244,0:16:03,714759,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,,,,,,,,,,,
,,Column Labels,,,,,,,,,,,,,,,,,,,
,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Total Average of ride_length,Total Count of ride_id,,,,
,Row Labels,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,,,,,,
,casual,0:25:15,38581,0:26:08,22468,0:18:19,18790,0:15:22,27674,0:16:41,33386,0:18:35,38750,0:21:59,44361,0:20:28,224010,,,,
,member,0:13:46,42404,0:12:29,52796,0:11:52,53808,0:11:37,74547,0:12:01,78948,0:12:01,69521,0:13:47,50005,0:12:22,422029,,,,
,Grand Total,0:19:14,80985,0:16:33,75264,0:13:32,72598,0:12:38,102221,0:13:24,112334,0:14:22,108271,0:17:38,94366,0:15:10,646039,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,,,,,,,,,,,,,
,,Column Labels,,,,,,,,,,,,,,,,,,,
,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Total Average of ride_length,Total Count of ride_id,,,,
,Row Labels,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,,,,,,
,casual,0:23:01,15653,0:22:27,9653,0:14:39,10592,0:13:51,11347,0:13:59,11940,0:16:03,15805,0:20:36,24159,0:18:14,99149,,,,
,member,0:13:10,27885,0:11:35,35152,0:11:03,38798,0:11:17,41689,0:12:23,39416,0:12:46,38122,0:13:12,36417,0:12:09,257479,,,,
,Grand Total,0:16:42,43538,0:13:55,44805,0:11:49,49390,0:11:50,53036,0:12:45,51356,0:13:43,53927,0:16:09,60576,0:13:50,356628,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,,,,,,,,,,,,,
,,Column Labels,,,,,,,,,,,,,,,,,,,
,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Total Average of ride_length,Total Count of ride_id,,,,
,Row Labels,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,Average of ride_length,Count of ride_id,,,,,,
,casual,0:27:05,2301,0:19:07,3391,0:14:13,4921,0:14:22,4596,0:16:34,3759,0:14:00,4197,0:18:48,4915,0:16:59,28080,,,,
,member,0:12:05,7128,0:11:23,17569,0:11:35,22567,0:13:34,21009,0:10:54,16224,0:11:16,15669,0:12:18,12288,0:11:53,112454,,,,
,Grand Total,0:15:45,9429,0:12:38,20960,0:12:03,27488,0:13:43,25605,0:11:58,19983,0:11:50,19866,0:14:10,17203,0:12:54,140534,,,,
Quick total of monthly values to allow for visual creation ,,,,,,,,,,,,,,,,,,,,,
,,Sun,Sun,Mon,Mon,Tue,Tue,Wed,Wed,Thu,Thu,Fri,Fri,Sat,Sat,,,,,,
,Casual,0:25:19,333244,0:22:52,228745,0:18:37,225478,0:17:18,221138,0:17:14,257141,0:18:56,318032,0:22:01,413510,,,,,,
,Member,0:13:05,382346,0:11:33,501006,0:11:34,561053,0:11:31,548527,0:11:31,573811,0:11:55,526618,0:12:56,449151,,,,,,
,,,715590,,729751,,786531,,769665,,830952,,844650,,862661,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Put the yearly totals into a clean table to include in the final typed up report. ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Column1,Casual Ride Length,Member Ride Length,Casual Ride Count,Member Ride Count ,,,,,,
,,,,,,,,,,,Sunday,0:25:19,0:13:05,333244,382346,,,,,,
,,,,,,,,,,,Monday,0:22:52,0:11:33,228745,501006,,,,,,
,,,,,,,,,,,Tuesday,0:18:37,0:11:34,225478,561053,,,,,,
,,,,,,,,,,,Wednesday,0:17:18,0:11:31,221138,548527,,,,,,
,,,,,,,,,,,Thursday,0:17:14,0:11:31,257141,573811,,,,,,
,,,,,,,,,,,Friday,0:18:56,0:11:55,318032,526618,,,,,,
,,,,,,,,,,,Saturday,0:22:01,0:12:56,413510,449151,,,,,,
,,,,,,,,,,,Average/Totals,0:20:20,0:12:01,1997288,3542512,,,,,,
